Latitude,Longitude,SET number,Date measured,Average distance,Change
48.149,-123.55718,15,9/17/12,809.4,-8.4
48.14555,-123.56693,1,3/28/13,624,43.7
48.14528,-123.56615,2,3/28/13,394.6,127.9
48.1452,-123.5657,3,3/28/13,444.4,109.6
48.14522,-123.56522,4,3/28/13,562.8,54.4
48.1472,-123.56337,5,3/28/13,-239.3,948
48.14697,-123.56284,6,3/28/13,NS,NA
48.1475,-123.56246,7,3/28/13,NS,NA
48.14701,-123.56172,8,3/28/13,605.6,26.2
48.14791,-123.56205,9,3/28/13,462.4,49
48.14775,-123.56158,10,3/28/13,795.4,129.3
48.14713,-123.56083,11,3/28/13,767.3,26.6
48.14668,-123.56033,12,3/28/13,NS,NA
48.14654,-123.55931,13,3/28/13,NS,NA
48.14798,-123.5607,14,3/28/13,584.4,78
48.149,-123.55718,15,3/28/13,NS,NA
48.14555,-123.56693,1,11/7/13,598.3,25.7
48.14528,-123.56615,2,11/7/13,356.1,38.4
48.1452,-123.5657,3,11/7/13,-373.3,817.8
48.14522,-123.56522,4,11/7/13,-250,812.8
48.1472,-123.56337,5,11/7/13,454.4,-693.7
48.14697,-123.56284,6,11/7/13,NS,NA
48.1475,-123.56246,7,11/7/13,NS,NA
48.14701,-123.56172,8,11/7/13,428,177.5
48.14791,-123.56205,9,11/7/13,466.8,-4.4
48.14775,-123.56158,10,11/7/13,790.7,4.7
48.14713,-123.56083,11,11/7/13,744.6,22.8
48.14668,-123.56033,12,11/7/13,222,NA
48.14654,-123.55931,13,11/7/13,NS,NA
48.14798,-123.5607,14,11/7/13,535,49.4
48.149,-123.55718,15,11/7/13,NS,NA
48.14555,-123.56693,1,6/11/14,609.2,-10.9
48.14528,-123.56615,2,6/11/14,-299,655.1
48.1452,-123.5657,3,6/11/14,-440,66.7
48.14522,-123.56522,4,6/11/14,-450.7,200.7
48.1472,-123.56337,5,6/11/14,-219.3,673.8
48.14697,-123.56284,6,6/11/14,-389.7,NA
48.1475,-123.56246,7,6/11/14,56.7,NA
48.14701,-123.56172,8,6/11/14,-195.8,623.9
48.14791,-123.56205,9,6/11/14,-16,482.8
48.14775,-123.56158,10,6/11/14,769.3,21.4
48.14713,-123.56083,11,6/11/14,240.7,503.9
48.14668,-123.56033,12,6/11/14,-74,296
48.14654,-123.55931,13,6/11/14,NS,NA
48.14798,-123.5607,14,6/11/14,130.3,404.7
48.149,-123.55718,15,6/11/14,266.3,NA
