Day,Daily Discharge (m3/s),Daily SSC (mg/L),Upper SSC bound (+1SD),Lower SSC bound (-1SD),Ave fraction fines (based on two turbidimeters),Daily Suspended-Sediment Load (tonnes),Daily SS Load of fines (tonnes),Daily SS Load of sand (tonnes),Remarks,Daily Total gauged > 2-mm bedload (tonnes),Daily gauged bedload for 2-16mm particles (tonnes ),Daily gauged bedload for >16mm particles (tonnes ),Estimated daily ungauged bedload (tonnes),Total sediment discharge (tonnes),Release period,Project year
11/06/2015,29.09060154,235.1235773,298.3294865,185.3088584,0.659015449,591.1,389.6,201.5,NA,NA,NA,NA,NA,591.1,NA ,proj year 5
10/12/2013,29.0950615,322.3635626,409.0213208,254.065647,0.653739325,811.3,530.3,281,NA,2.812418386,2.151500065,0.660918321,267.6209149,1081.733333,NA ,proj year 3
07/18/2014,29.21404846,27.83713181,35.3203083,21.93938684,0.698054199,70.1,48.9,21.2,NA,0.454633196,0.347794395,0.106838801,22.91203347,93.46666667,NA ,proj year 3
01/31/2014,29.2224672,4647.639772,5293.372532,4080.679248,0.611907791,11748.9,7189.7,4559.2,NA,6.413816879,4.906569913,1.507246967,3909.886183,15665.2,NA ,proj year 3
03/07/2015,29.27093282,42.24017045,53.59517113,33.29090964,0.690214329,106.9,73.8,33.1,NA,0.097488432,0.07457865,0.022909781,35.5358449,142.5333333,NA ,proj year 4
07/26/2013,29.3,83.8,123.3,44.4,0.922,212.3,195.7,16.6,NA,6.1,4.91,1.23,65,283,summer 2,proj year 2
04/18/2015,29.32391013,17.26934843,21.91169388,13.61055867,0.706314792,43.9,31,12.9,NA,0.088326109,0.067569474,0.020756636,14.54500722,58.53333333,NA ,proj year 4
08/11/2012,29.4,96.8,142.3,51.3,0.895,245.7,220,25.7,NA,NA,NA,NA,43,289,summer 1,proj year 1
07/09/2016,29.41769144,2.872814006,3.645083735,2.264162064,0.741608657,7.3,5.4,1.9,NA,NA,NA,NA,NA,7.3,NA ,proj year 5
04/21/2015,29.4916125,14.94165555,18.95827071,11.77602504,0.709382093,38.2,27.1,11.1,NA,0.037222411,0.028475144,0.008747266,12.69611092,50.93333333,NA ,proj year 4
09/01/2015,29.59866644,134.0009953,170.0231367,105.610725,0.667725856,352.2,235,117.2,NA,2.88992536,2.2107929,0.67913246,114.5100746,469.6,NA ,proj year 4
10/06/2011,29.6,90.7,133.3,48.1,0.943,232.2,219,13.2,NA,NA,NA,NA,41,273,early removal,proj year 1
11/18/2011,29.6,154.9,227.7,82.1,0.765,395.6,302.7,92.9,NA,NA,NA,NA,70,465,early removal,proj year 1
03/06/2015,29.81521049,52.30895674,66.3706481,41.2264613,0.68612995,134.9,92.5,42.4,NA,0.190967758,0.146090335,0.044877423,44.77569891,179.8666667,NA ,proj year 4
03/13/2015,29.83622121,42.55091525,53.98945034,33.53581815,0.689975067,110.1,75.9,34.2,NA,0.041364941,0.03164418,0.009720761,36.65863506,146.8,NA ,proj year 4
07/05/2016,29.84926509,3.83059548,4.860335981,3.019022098,0.736134095,9.9,7.3,2.6,NA,NA,NA,NA,NA,9.9,NA ,proj year 5
07/08/2016,29.84957647,3.659670592,4.643463073,2.884310402,0.736957828,9.5,7,2.5,NA,NA,NA,NA,NA,9.5,NA ,proj year 5
10/29/2011,29.9,135.1,198.6,71.6,0.783,348.7,273.1,75.7,NA,NA,NA,NA,62,410,early removal,proj year 1
04/14/2015,29.91970364,12.04192468,15.27903432,9.490648884,0.713922108,31.1,22.2,8.9,NA,0.080765421,0.061785547,0.018979874,10.28590125,41.46666667,NA ,proj year 4
10/04/2011,30,91.2,134.1,48.4,0.943,236.2,222.7,13.6,NA,NA,NA,NA,42,278,early removal,proj year 1
12/11/2011,30.1,92.8,136.5,49.2,0.867,241.4,209.3,32.1,NA,NA,NA,NA,43,284,early removal,proj year 1
01/21/2014,30.15212151,1359.470497,1548.352312,1193.630169,0.573462618,3553.7,2038.3,1515.4,NA,8.272939372,6.32879862,1.944140753,1176.293727,4738.266667,NA ,proj year 3
04/29/2015,30.18075923,13.8184184,17.53308501,10.89076378,0.710828532,36.4,25.9,10.5,NA,0.032209736,0.024640448,0.007569288,12.1011236,48.53333333,NA ,proj year 4
09/24/2014,30.19461859,644.5257665,734.0747469,565.9007689,0.578833917,2043.5,1175.4,868.1,NA,68.15628413,52.13955736,16.01672677,613.0103825,2724.666667,NA ,proj year 3
01/10/2016,30.27107728,44.83947163,56.89321635,35.33950698,0.689094743,117.3,80.9,36.4,NA,NA,NA,NA,NA,117.3,NA ,proj year 5
01/11/2016,30.39836328,46.72500802,59.28562253,36.8255621,0.687646834,123.9,85.2,38.7,NA,NA,NA,NA,NA,123.9,NA ,proj year 5
10/24/2011,30.4,166.8,245.2,88.4,0.761,438.1,333.4,104.7,NA,NA,NA,NA,77,515,early removal,proj year 1
07/25/2013,30.4,90.8,133.4,48.1,0.903,238.4,215.2,23.2,NA,12.2,9.79,2.45,67,318,summer 2,proj year 2
03/05/2015,30.4211863,61.1188714,77.54884362,48.16985357,0.683436728,160.7,109.8,50.9,NA,0.039426369,0.030161172,0.009265197,53.5272403,214.2666667,NA ,proj year 4
