Site,Dam condition,Date collected,Month collected,Year collected,Number of seines,American shad,Bull trout,Chinook salmon,Coho salmon,Chum salmon,Cottid sp.,Cutthroat trout,English sole,Flatfish spp.,Lamprey ammocoete,Osmerid sp.,Prickly sculpin,Redside shiner,Shiner perch,Staghorn sculpin,Starry flounder,Steelhead/Rainbow trout,Three-spined stickleback
East,before,5/11/06,May,2006,7,0.0,0.0,24.4,12.6,1.9,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,94.0,1.4,3.0,0.1
East,before,6/9/06,June,2006,4,0.0,0.0,29.8,16.0,1.0,24.5,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,4.8
East,before,7/20/06,July,2006,4,0.0,0.0,15.0,4.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,7.5,0.0,22.5
East,before,8/3/06,August,2006,8,0.0,0.0,5.8,0.3,0.0,11.3,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.5,10.3,0.3,133.5
East,before,9/7/06,September,2006,8,0.0,0.0,0.5,0.3,0.0,3.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10.9,7.8,0.0,287.9
East,before,5/3/07,May,2007,15,0.0,0.0,0.3,0.1,0.3,2.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,9.0,1.0,0.0,1.9
East,before,6/14/07,June,2007,8,0.0,0.0,2.4,3.6,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.6,1.8,0.6,40.4
East,before,7/26/07,July,2007,9,0.0,0.0,3.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.8,1.8,1.8,52.7
East,before,8/8/07,August,2007,4,0.0,0.0,3.5,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.8,1.5,114.8
East,before,9/6/07,September,2007,5,0.0,0.0,4.8,0.0,0.0,9.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.2,2.6,339.8
East,after,5/15/13,May,2013,6,0.0,0.5,3.0,3.7,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.2,0.2,1.7
East,after,6/5/13,June,2013,7,0.0,0.0,4.4,0.6,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.3,0.0,30.4
East,after,7/10/13,July,2013,6,0.0,0.0,0.3,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.2,0.2,119.8
East,after,8/7/13,August,2013,6,0.0,0.0,0.7,1.2,0.0,1.2,0.5,0.0,0.0,0.2,0.0,0.0,1.2,0.0,0.0,0.2,0.3,154.7
East,after,9/4/13,September,2013,6,0.0,0.0,0.7,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,169.0
East,after,5/7/14,May,2014,6,0.0,0.5,1.5,0.8,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.5,49.5
East,after,6/4/14,June,2014,6,0.0,0.5,3.3,4.5,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.7,29.3
East,after,7/2/14,July,2014,5,0.0,0.8,4.8,5.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,28.2
East,after,8/13/14,August,2014,4,1.3,0.0,2.5,7.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.3,0.3,1.8,28.5
East,after,9/10/14,September,2014,4,0.8,0.0,0.8,33.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,0.3,59.3
West,after,5/29/13,May,2013,2,0.0,0.0,2.5,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0
West,after,6/4/13,June,2013,3,0.0,0.0,6.0,0.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.0,0.0,0.0,0.0,16.0
